,id_reserva,id_cliente,nombre,apellido,mail,competencia,fecha_reserva,inicio_estancia,final_estancia,id_hotel,precio_noche,nombre_hotel,estrellas,ciudad
0,5256cc90-139b-43d2-8ec5-412495d751cf,HC5311,Feliciana,Cantón,feliciana.cantón@example.com,True,2025-02-19,2025-03-01,2025-03-02,1,170.0,ibis Styles Madrid Prado,4.7,Madrid
1,84fd6209-bd8d-4a92-bfe6-c68ee2c49271,HC8310,Leonardo,Hierro,leonardo.hierro@example.com,True,2025-02-19,2025-03-01,2025-03-02,2,255.0,Novotel Madrid Center,4.6,Madrid
2,40c4cb55-d1f5-407b-832f-4756b8ff77b4,HP9063,Maite,Calatayud,maite.calatayud@example.com,False,2025-02-09,2025-03-01,2025-03-02,3,119.96,Hotel Monte Verde,3.1032608695652173,Madrid
3,f2ce8df5-7844-43e1-8c0f-97ce7a208f21,HP13646,Tecla,Bonet,tecla.bonet@example.com,False,2025-02-08,2025-03-01,2025-03-02,4,211.53,Hotel Brisas del Mar,3.091078066914498,Madrid
4,57d4515a-447d-4067-afcb-9bdcf4e4e915,HP993,Amílcar,Andrés,amílcar.andrés@example.com,False,2025-02-02,2025-03-01,2025-03-02,5,378.37,Hotel Camino del Sol,3.072519083969466,Madrid
5,ccbd9fe9-5a60-4f6f-bed3-73a7158ecba7,HP7371,Joan,Vazquez,joan.vazquez@example.com,False,2025-02-08,2025-03-01,2025-03-02,6,85.45,Hotel Puerta del Cielo,3.0338983050847457,Madrid
6,99c3dc4f-663c-45f7-849a-ac9313f3746a,HP2839,Chelo,Flor,chelo.flor@example.com,False,2025-02-09,2025-03-01,2025-03-02,7,309.8,Hotel Encanto Real,3.023166023166023,Madrid
7,4d65096e-5f12-4ce7-9fd6-dd20e3cf5194,HC8047,Judith,Rivas,judith.rivas@example.com,True,2025-02-19,2025-03-01,2025-03-02,8,106.0,ibis budget Madrid Calle 30,4.4,Madrid
8,a5da0906-0fe5-4c30-b193-863df67a7b84,HP3899,Dolores,Lobo,dolores.lobo@example.com,False,2025-02-10,2025-03-01,2025-03-02,9,434.88,Palacio del Sol,2.988372093023256,Madrid
9,458029ad-cc9b-4d85-8290-fec170bcc02d,HC204,Adolfo,Cuervo,adolfo.cuervo@example.com,True,2025-02-19,2025-03-01,2025-03-02,10,172.0,ibis Madrid Centro las Ventas,4.5,Madrid
10,3eca014e-f122-41d7-9dd3-b984b9153d57,HP10946,Noé,Lobo,noé.lobo@example.com,False,2025-02-02,2025-03-01,2025-03-02,11,216.57,Hotel Jardines del Rey,2.9450980392156865,Madrid
11,ac0fe86e-90a0-4fe6-a02e-6ea00e9a8621,HC9762,María Carmen,Navarro,maría carmen.navarro@example.com,True,2025-02-19,2025-03-01,2025-03-02,12,173.0,Novotel Madrid City Las Ventas,4.6,Madrid
12,8d2d3ea2-14bb-4762-a7a4-a44e75d2d2f4,HC12323,Ricardo,Caballero,ricardo.caballero@example.com,True,2025-02-19,2025-03-01,2025-03-02,13,95.0,ibis budget Madrid Vallecas,4.3,Madrid
13,8a68fb77-8798-4902-a92d-642ea5e47083,HP11202,Omar,Lamas,omar.lamas@example.com,False,2025-02-10,2025-03-01,2025-03-02,14,378.1,Hotel Las Estrellas,2.9042145593869733,Madrid
14,77354d6e-4713-496f-af21-c231b909e29c,HC8914,Luna,Segovia,luna.segovia@example.com,True,2025-02-19,2025-03-01,2025-03-02,10,172.0,ibis Madrid Centro las Ventas,4.5,Madrid
15,5e3de36b-3d2f-4cef-98d3-df826c56a4b1,HP14708,Ágata,Pinedo,ágata.pinedo@example.com,False,2025-02-01,2025-03-01,2025-03-02,15,358.07,Gran Hotel Madrid,3.0592734225621414,Madrid
16,f4cf7cbf-7a2a-4e44-9b9d-e2c9a444ec78,HC8997,Lázaro,Pardo,lázaro.pardo@example.com,True,2025-02-19,2025-03-01,2025-03-02,16,127.0,Pullman Madrid Airport & Feria,4.2,Madrid
17,2a39eb83-b3aa-4df0-93b3-1fdc0b0a9609,HP8093,Julie,Baños,julie.baños@example.com,False,2025-02-01,2025-03-01,2025-03-02,17,79.77,Hotel Torre Dorada,2.9242718446601943,Madrid
18,96a3727c-99fb-4ae0-a6c3-886504499ec2,HP7193,Javier,Mancebo,javier.mancebo@example.com,False,2025-02-12,2025-03-01,2025-03-02,18,228.02,Hotel Palacio Imperial,3.008528784648188,Madrid
19,18fa5887-c155-4064-ba8d-3b2948dd348b,HP12364,Rita,Guerrero,rita.guerrero@example.com,False,2025-02-11,2025-03-01,2025-03-02,5,385.24,Hotel Camino del Sol,3.072519083969466,Madrid
20,9880f3ea-a29d-4acd-9fe1-96df1ffa46bd,HP12328,Ricardo,Lobo,ricardo.lobo@example.com,False,2025-02-06,2025-03-01,2025-03-02,19,454.01,Hotel Luz de Madrid,3.0499075785582255,Madrid
21,22a3608a-1de2-40c7-8e2a-d22daf77390f,HP11664,Perlita,Patiño,perlita.patiño@example.com,False,2025-02-02,2025-03-01,2025-03-02,7,279.28,Hotel Encanto Real,3.023166023166023,Madrid
22,68b36da9-eeaa-4c31-91a8-d34fcc3956c8,HP11571,Pedro,Gallego,pedro.gallego@example.com,False,2025-02-09,2025-03-01,2025-03-02,20,332.34,Hotel Los Almendros,3.0111317254174397,Madrid
23,b92dbe7c-4660-4e4c-9224-47cae0152bf9,HP8033,Judith,Bellido,judith.bellido@example.com,False,2025-02-08,2025-03-01,2025-03-02,18,318.14,Hotel Palacio Imperial,3.008528784648188,Madrid
